,device_id,repeat
0,0yhy0-46axu-c74ek-phj77-0uojl,9
1,2ko95-hs10y-q1051-2naw2-4a07a,9
2,4k7hc-usv8s-5jirh-m32qc-zgeg0,6
3,nhf5u-okpym-l11ec-gjple-q9s2n,5
4,x3yua-uuzov-064yp-lf6xp-i9qu0,1
5,0xqvx-j7qq4-kfffi-trcry-7fzob,1
6,jbngx-j6muq-ydxce-dp35q-wscde,1
7,18zlx-qw6mq-0f5rl-dnz2x-pkby9,1
8,un4b6-umwz0-04ich-n6b0v-as9ft,1
9,7l0hn-p0ugu-954ux-ciwzu-gepyv,1
10,zyp4t-crrnc-e6gye-mp25o-yux9t,1
11,lq1qq-llo93-zf1ty-laup1-m6e8l,1
12,keei2-ujxe4-mc9vb-5kxzl-l6q04,1
13,v46j8-a27s5-c31h4-gouck-l2ott,1
14,8z9ue-3my9p-4swqr-xqtsr-7srao,1
15,0k9sf-xmvnv-uqxze-u4dx6-58zwj,1
16,zctwk-q5cpy-zcekm-0dmcw-cg7zr,1
17,fcpge-9lgdw-qzjl0-1p4u6-8d3x4,1
18,g4vh3-qkxx2-3r0bx-fsliy-nzejz,1
19,nc64d-4r77u-ruqu8-z9krh-d26o2,1
20,rz8no-j1ayu-v02aw-0assk-etiqr,1
21,jg4ir-oxsbu-kg12h-o2sxx-anw6c,1
22,sekvw-uksjn-j09cl-7pjig-qjsnr,1
23,3c6nd-9n1kw-k74uv-rc3wi-n8dpb,1
24,rvyg8-q3dml-wo8re-oc52f-e0co1,1
25,5z2vj-wxd3l-nf98m-l021b-kp0j4,1
26,f81zw-2hjxx-akas2-zdz6t-tkqnj,1
27,vline-aw397-bm8ot-13jju-bymum,1
28,n2e8u-8264f-2fdst-tw34e-yebsy,1
29,a3f8d-ky7fa-hfofx-4lbbs-iczs2,1
30,77o4f-fms6f-5xhk6-qv5k7-mtr50,1
31,d0spu-4439x-u5lkt-m810j-y14v8,1
32,rt7t8-bg86i-c3mhe-5wmao-3prga,1
33,e2sxj-6gp6c-80aid-h7ixe-58hi5,1
34,m9gbz-x0j1r-lwnrf-5db5v-ck8n7,1
35,hpsa4-kfm2w-c6vkb-0kb1h-dbzpi,1
36,wwnt0-1dglp-hde44-masqr-qijic,1
37,o85ed-ya8kr-dm5kd-lu5eu-nvq5k,1
38,5iebk-933y0-a20wf-88gos-6b9ba,1
39,7kbka-i7td4-ekstq-xqwtf-posvw,1
40,wuyrp-5k7h9-j15wd-ri7jd-ujhja,1
41,os34x-1nbb1-3vr90-gkovb-udgwm,1
42,moag0-qbcoc-nrwe8-kxthq-gqj9k,1
43,8enb8-brycf-9esq1-h6q5t-re8qc,1
44,3cw2w-fi0yv-wvumf-z1mfa-3yz12,1
45,yx2wj-ltsug-tgwkg-7whl7-a4oii,1
46,ng39x-qdap0-ylcsf-vhs1o-8io4y,1
47,szgow-ejpzt-tutll-i24zp-lb1ad,1
48,7pczq-86yu9-esbuh-a0rhz-ezpke,1
49,czdmh-e9txn-8kxs7-kgofn-piubt,1
50,edlb4-9qg56-2ltwg-tnoz3-lsnph,1
51,q2j1c-nztix-6dzgo-l4amx-7pfg6,1
52,mun2p-nid8k-ywnoh-ge69w-x1w6j,1
53,ughm9-pwjro-5pict-tesev-sf2kc,1
54,2mxol-zo5yo-k8g98-88sna-55l9h,1
55,mnhjc-pom1s-1rg6t-vu074-4m0ky,1
56,v0nzj-nijle-dfdkt-im39y-krj0t,1
57,znfu1-6mwc9-63n9y-jvt2o-aphqe,1
58,qt7qe-emj25-4awco-0sbr0-tzusp,1
59,r5p48-mkrda-9a34f-nm4cy-7xo5j,1
60,ovjtw-aosi2-nizgy-t7s36-8srst,1
61,2xtun-v75im-7qjfd-m16qu-m7z6j,1
62,utmdp-43tbt-ygyug-0lbyz-jrcox,1
63,t329f-2mszf-mr600-ixms1-pipom,1
64,gq587-g5gyw-9a1yn-gcccv-kouxh,1
65,lhph5-fs9sc-mt3q7-wsiz6-btjt3,1
66,ch1t9-eql4q-ewow0-mqdo5-rt0ie,1
67,1s0p8-1dfst-w7uqo-icn47-9os7m,1
68,c7lxv-7vybh-apbxw-j21zi-2kpuj,1
69,s1zm5-8svhm-lvd9f-a7xx1-t07sv,1
70,5ybgz-p65s7-kowmp-vtnnk-ycqkd,1
71,48f1t-u5ms5-15o8k-qdozt-ltz3o,1
72,zha72-oljoh-1bqb8-d9qo8-pzazs,1
73,pjznm-4y3dz-vfndd-snbu5-mxgez,1
74,n69fx-mqdzq-e9w6e-2t5uz-rpr2j,1
75,d8co2-j399a-fqqzd-u6xfl-6ee1p,1
76,how2u-i3sk2-c59eu-5wnpi-uvizl,1
77,k80w2-ea89v-4l2ui-1j19v-x0dqh,1
78,aa5rj-x2025-ws2ri-v550b-bzf8p,1
79,dt2ai-dzz7m-2l8b6-gbqgv-3yo6g,1
80,drs9d-x9f04-gqcmd-ks8nq-n5yb3,1
81,4zklb-40w5b-ihrdl-p6zsp-zq3lm,1
82,bgky1-optu3-gzry6-0q935-axh6y,1
83,m6kwm-nrt64-n42ev-rvkey-eeuug,1
84,lum8j-xdeas-gc8a5-szzi6-t65ym,1
85,cgluk-o5b28-lg4o1-aej3x-12uh2,1
86,e12x8-nqb4t-8wonu-1z5s9-7kwoi,1
87,i1g72-xs4q3-t939w-63bjz-bfnwp,1
88,k4o6x-lkm2u-buxq2-1xzjy-6qjr5,1
89,eyg0z-9j99b-070bh-r1wme-53x1n,1
90,rkg14-3wdii-jbd2d-e35lx-hri7o,1
91,ho4fn-ij345-e6gyx-h7wsu-ekzfx,1
92,pmqpw-ufqty-hk6bj-76srt-wms78,1
93,tik0i-gsts2-2fqbm-gkihh-gibz3,1
94,rsdbx-jhp9c-7soon-66y2p-hiwjv,1
95,zv9ov-erw5f-7qcuh-qufb9-4dv8h,1
96,42t3s-ua59g-3yokt-916yx-mxf54,1
97,4enag-r840d-77vdi-vmsg6-csiw7,1
98,xe6r2-drsgl-nzo8s-eln7l-2xaf1,1
99,cmxma-z07py-99hzt-lnyta-hri8x,1
100,8ztt1-2bp4v-4cbcu-5wmb7-g8mr7,1
101,84he4-3e902-pxr0r-wt0dv-86wmu,1
102,c5ds9-gu9ev-wa5wc-xnrh6-s3wov,1
103,xvzly-21vcq-4ugta-tq6c6-6rd9k,1
104,n3fg9-5u0ha-gy6rr-dw8le-jwa9v,1
105,uj8fu-njzaq-kr7od-q1618-tpg7l,1
106,r9nu2-kgwiv-t332b-fz2hs-kocj4,1
107,jp8dy-eed1d-bcm7o-egjcx-58z1e,1
108,hoy2t-78p1s-3guom-50uqr-epu2a,1
109,v66uh-f352r-npyt6-jjk01-9hfr4,1
110,g2f7l-bwyah-p0jru-tt59s-zfm44,1
111,rtguj-w4o90-yilwa-8un4h-h6vre,1
112,wdwcn-vc4o6-7gwta-t6ov1-58lyi,1
113,baq98-cvk10-gvdyz-q6711-gt0oj,1
114,sr2wj-fzt1n-08uzl-0p920-16bby,1
115,fgtfp-gdykf-4yb0f-v6d15-p4ul6,1
116,kwqk5-d0772-8q92t-1pjnl-4cka4,1
117,5w5bm-nffh4-5451p-h9z6t-zxlxs,1
118,vhpdm-wbhn2-omkzd-1vcfg-n70jf,1
119,7bxdn-jaruo-ebxm9-lphj2-7gfxy,1
120,3k7ba-ma7eq-qcv1p-qotif-a6vga,1
121,igzci-moh5f-6dv81-8sssp-d55kg,1
122,76jj9-prhji-b2ib1-g8nza-s81bj,1
123,w587g-7sqw9-jkbtd-irfdz-1qp1c,1
124,1e3xa-u03nn-bx48n-thqcx-hpp7y,1
125,02mzx-vuilc-haiqv-5znoo-g1qxe,1
126,sh9j5-ceqqo-ny8yl-p1hb3-fnpt0,1
127,92ra6-2508n-tcejv-toeoy-gig2n,1
128,1z4i2-t9ebe-kcoly-i8ecx-ec3xp,1
129,akz5s-7cyyq-wdxkx-ubtae-a3eoo,1
130,k73vn-3ntp5-h4xl7-vy2zc-oiwk0,1
131,lumyj-mtqjh-hqccz-nprt4-sfysy,1
132,hsnc7-wy7xm-phiay-ams8w-p54jn,1
133,0rira-02cpe-qqn8w-yk37v-6gv2j,1
134,8cng4-wnf1p-cr8hi-ay3de-n1dik,1
135,djvlp-m07b8-l717b-3jdbh-xdg6m,1
136,0bs37-c3uwf-6wrbh-2zhnh-btv6n,1
137,yfrrb-rj2h3-cwbmh-i1fho-9pvnb,1
138,q2mvz-tgehu-dfj84-3zhs0-ypj7w,1
139,nldfc-g7mw1-dwdo5-yc1je-y9zg7,1
140,3hdlc-q3b7f-i4pit-lgsfr-drvza,1
