,user_id,join_date,flag
0,M510270849,2022-01-21 12:00:00,1
1,M3413803468,2022-01-14 16:25:00,1
2,M3336814335,2022-01-13 18:29:00,1
3,M3005179365,2022-01-04 22:16:00,1
4,M141555821,2022-01-01 09:08:00,1
5,M2246737242,2021-11-24 16:57:00,1
6,M503233131,2022-01-20 11:49:00,1
7,M2981945849,2022-01-21 22:10:00,1
8,M4330752802,2022-01-22 11:13:00,1
9,M435612655,2022-01-14 22:23:00,1
10,M4302632150,2022-01-25 14:49:00,1
11,M353997544,2022-01-02 20:24:00,1
12,M4790653723,2022-01-01 10:12:00,1
13,M208968199,2022-01-06 04:51:00,1
14,M4159875637,2022-01-16 09:08:00,1
15,M331490829,2022-01-16 12:18:00,1
16,M411883765,2022-01-23 08:14:00,1
17,M3027786541,2022-01-17 09:38:00,1
18,M3984750297,2022-01-08 18:48:00,1
19,M4184930335,2022-01-03 20:13:00,1
20,M62012833,2022-01-20 09:20:00,1
21,M579463374,2022-01-17 18:49:00,1
22,M4683082612,2022-01-01 17:49:00,1
23,M3912738803,2022-01-25 21:32:00,1
24,M4208753641,2022-01-18 12:14:00,1
25,M207616034,2022-01-07 13:19:00,1
26,M320882359,2022-01-03 17:50:00,1
27,M2574529836,2022-01-12 11:09:00,1
28,M548027540,2022-01-06 18:23:00,1
29,M2986965083,2022-01-17 18:54:00,1
