user_id,order_id,order_date,booking_date,order_status,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date
M92022363,D00000013,2022/1/1 1:12,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M266512650,D00000015,2022/1/1 9:47,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M141555821,D00000016,2022/1/1 9:53,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4691495608,D00000037,2022/1/1 20:29,2022/1/1 0:00,R,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4135757873,D00000014,2022/1/1 9:43,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M2706806772,D00000048,2022/1/2 10:12,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4349009353,D00000034,2022/1/1 19:38,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M203089940,D00000021,2022/1/1 13:56,2022/1/1 0:00,R,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4491242462,D00000012,2022/1/1 0:57,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4971892887,D00000049,2022/1/2 10:12,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M3037584278,D00000043,2022/1/2 2:22,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4366894685,D00000071,2022/1/2 16:53,2022/1/2 0:00,R,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M2815514910,D00000081,2022/1/2 20:23,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M3089682252,D00000025,2022/1/1 14:38,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4915889067,D00000062,2022/1/2 14:17,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M3941934576,D00000085,2022/1/3 2:06,2022/1/3 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M324367708,D00000059,2022/1/2 13:00,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M3546907676,D00000066,2022/1/2 15:05,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M308283236,D00000067,2022/1/2 15:19,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4983630689,D00000029,2022/1/1 17:35,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M2451903006,D00000065,2022/1/2 15:04,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M2509261141,D00000044,2022/1/2 8:47,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M112688952,D00000028,2022/1/1 16:39,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M343689102,D00000072,2022/1/2 16:54,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M405775034,D00000018,2022/1/1 11:07,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M2709084070,D00000090,2022/1/3 9:36,2022/1/3 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M3023559999,D00000020,2022/1/1 12:19,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4425603552,D00000038,2022/1/1 20:39,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M2632122137,D00000088,2022/1/3 9:20,2022/1/3 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4776057577,D00000050,2022/1/2 10:59,2022/1/2 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
