user_id,order_id,order_date,booking_date,order_status,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date
M2246737242,D00000001,2021/11/24 17:55,2021/11/24 0:00,S,NKG,BSD,南京,保山,NKG,BSD,2022/1/15 9:00,A67231,2022/1/15,A67231_2022-01-15
M2238080842,D00000002,2021/12/4 21:37,2021/12/4 0:00,R,LXA,CTU,拉萨,成都,LXA,CTU,2022/1/30 19:55,EU1836,2022/1/30,EU1836_2022-01-30
M2230862591,D00000003,2021/12/6 15:53,2021/12/6 0:00,S,LXA,CTU,拉萨,成都,LXA,CTU,2022/1/20 19:55,EU1836,2022/1/20,EU1836_2022-01-20
M2636368273,D00000004,2021/12/9 21:54,2021/12/9 0:00,R,SHA,CKG,上海,重庆,SHA,CKG,2022/1/24 7:20,HO1245,2022/1/24,HO1245_2022-01-24
M4283085237,D00000005,2021/12/16 23:03,2021/12/16 0:00,S,TAO,CGQ,青岛,长春,TAO,CGQ,2022/1/9 10:10,SC4955,2022/1/9,SC4955_2022-01-09
M457915455,D00000006,2021/12/17 14:00,2021/12/17 0:00,R,SZX,CTU,深圳,成都,SZX,CTU,2022/1/16 8:00,ZH9401,2022/1/16,ZH9401_2022-01-16
M2521462751,D00000007,2021/12/24 8:49,2021/12/24 0:00,T,WXN,SZX,万州,深圳,WXN,SZX,2022/2/8 12:20,ZH9960,2022/2/8,ZH9960_2022-02-08
M4970905099,D00000008,2021/12/24 15:37,2021/12/24 0:00,S,CKG,LXA,重庆,拉萨,CKG,LXA,2022/1/8 6:00,PN6391,2022/1/8,PN6391_2022-01-08
M119555704,D00000009,2021/12/27 13:38,2021/12/27 0:00,R,PVG,SYX,上海,三亚,SHA,SYX,2022/1/29 6:30,Y87501,2022/1/29,Y87501_2022-01-29
M186151121,D00000010,2021/12/31 23:59,2021/12/31 0:00,S,FOC,ACX,福州,兴义,FOC,ACX,2022/1/8 17:00,EU1806,2022/1/8,EU1806_2022-01-08
M3564753136,D00000011,2022/1/1 0:33,2022/1/1 0:00,S,WUX,CTU,无锡,成都,WUX,CTU,2022/1/20 20:40,ZH9545,2022/1/20,ZH9545_2022-01-20
M4491242462,D00000012,2022/1/1 0:57,2022/1/1 0:00,S,CGQ,SHA,长春,上海,CGQ,SHA,2022/1/2 20:05,MU6356,2022/1/2,MU6356_2022-01-02
M92022363,D00000013,2022/1/1 1:12,2022/1/1 0:00,S,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01
M4135757873,D00000014,2022/1/1 9:43,2022/1/1 0:00,S,CGQ,HGH,长春,杭州,CGQ,HGH,2022/1/2 15:40,GJ8578,2022/1/2,GJ8578_2022-01-02
M266512650,D00000015,2022/1/1 9:47,2022/1/1 0:00,S,XUZ,FOC,徐州,福州,XUZ,FOC,2022/1/2 10:55,GJ8608,2022/1/2,GJ8608_2022-01-02
M141555821,D00000016,2022/1/1 9:53,2022/1/1 0:00,S,CKG,LUM,重庆,芒市,CKG,LUM,2022/1/2 11:40,DR5332,2022/1/2,DR5332_2022-01-02
M2509633540,D00000017,2022/1/1 10:09,2022/1/1 0:00,R,JXA,PKX,鸡西,北京,JXA,BJS,2022/1/19 10:00,JD5316,2022/1/19,JD5316_2022-01-19
M405775034,D00000018,2022/1/1 11:07,2022/1/1 0:00,S,PEK,CSX,北京,长沙,BJS,CSX,2022/1/4 8:30,CA1389,2022/1/4,CA1389_2022-01-04
