,user_id,order_id,order_date,booking_date,order_status,device_id,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date,browsing_time
0,M92022363,D00000013,2022/1/1 1:12,2022/1/1 0:00,S,x3yua-uuzov-064yp-lf6xp-i9qu0,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,69
1,M266512650,D00000015,2022/1/1 9:47,2022/1/1 0:00,S,hv3jf-1ixug-339l5-o53dx-cqxb2,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,113
2,M141555821,D00000016,2022/1/1 9:53,2022/1/1 0:00,S,0yhy0-46axu-c74ek-phj77-0uojl,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,109
3,M4691495608,D00000037,2022/1/1 20:29,2022/1/1 0:00,R,d4laz-mg6li-bpd3g-dbnn8-x9mpj,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,105
4,M4135757873,D00000014,2022/1/1 9:43,2022/1/1 0:00,S,zmhze-4b1gv-rosu5-o076s-8g9zf,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,90
5,M2706806772,D00000048,2022/1/2 10:12,2022/1/2 0:00,S,pdnl4-emhwl-atljr-xnne3-n35ep,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,87
6,M4349009353,D00000034,2022/1/1 19:38,2022/1/1 0:00,S,pzx3o-dy6h8-f5lxk-ek179-tv9ke,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,130
7,M203089940,D00000021,2022/1/1 13:56,2022/1/1 0:00,R,xcaoy-g28gm-qh09s-52b9b-ol1wv,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,106
8,M4491242462,D00000012,2022/1/1 0:57,2022/1/1 0:00,S,vcatm-cupuo-5xdqh-457k8-p5kgv,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,91
9,M4971892887,D00000049,2022/1/2 10:12,2022/1/2 0:00,S,akbck-avvez-3szgi-8nwjw-p8aek,PEK,SYX,北京,三亚,BJS,SYX,2022/1/1 14:35,CA1345,2022/1/1,CA1345_2022-01-01,75
