,device_id,repeat
0,ug090-0gitk-k2zlx-gr5y3-6n360,7
1,lshb4-blf3h-gt08t-g3oyx-evxo2,5
2,zxidb-ly73u-xsloz-6bggz-7m83r,3
3,num0z-tvrbt-9qx46-slm94-5gock,3
4,ad2o7-go517-s7nto-t4li0-xrd3d,1
5,51tif-a03og-idqre-pafib-172ef,1
6,h047o-rdkzt-dgy33-v65yl-bmvc2,1
7,h34gf-7oi5p-he9fa-9ntf8-umjwm,1
8,bysh4-ismu6-alimk-f2ny6-yv1m7,1
9,kfgqd-gygmm-tn9fv-lprsq-wdntx,1
10,0tl57-3pnxd-b0k6c-wgiqe-6c055,1
11,ietuu-wqg7c-lj7ln-cm3vn-3bbis,1
12,to31n-03btt-1k3ds-njdyb-kvg9k,1
13,p3nab-qm44s-legpw-24mcj-3o9r3,1
14,jepnv-7naa0-aqlhw-lq37u-lhlro,1
15,xtfbd-yzzyh-7p55a-h67wz-xoksr,1
16,u2s9v-jb8v5-9ctel-tebjl-wismd,1
17,o10q1-1w7em-qk526-p08k2-376je,1
18,cwhz7-mc4i2-dc70m-qvpdu-9mw9q,1
19,2sthg-j3eld-kxipv-xkw6o-zz5tl,1
20,s3wkh-amlel-s2lw1-oir2d-vad4d,1
21,u4r06-3u8sp-unxkl-i8bp2-qrawe,1
22,1ujse-jigsp-fmbt5-kiwfd-vcdjk,1
23,b286v-zs07e-cew2t-ls9ei-l6uc3,1
24,v6nqf-ud38t-e8qbp-szilw-2wkzj,1
25,uxhcs-f4s60-3so5b-wk0pc-ohzy1,1
26,nsabv-fdehg-q15bd-j8j8d-1rpqm,1
27,ff787-sqobn-7unsi-bwbvd-m6p0h,1
28,eox98-l1tln-5261m-nm7pa-q2iwx,1
29,k3rr4-fmxzt-ltmsd-qdmu1-4z6rs,1
30,a8294-5on6j-9yxop-i5pus-obkuj,1
31,met6m-sk3qs-9z3ql-73wd6-gplz3,1
32,e4sec-y9p79-lti9t-ukwrf-y6y1h,1
33,e99rx-91ghe-9hrxt-pzm2m-066rd,1
34,2aicm-j32zk-5ywbm-0hihf-x819h,1
35,aatr4-jar4q-td7mb-qfvkb-r6w5g,1
36,8jv16-oqrqd-ug7im-7hbyr-2g01o,1
37,gcki9-cmck4-nhdsk-inkd2-m4tn0,1
38,u0tps-0p6mj-dry9c-8ucpz-972im,1
39,xqvfq-21v2m-0ti84-t1ivq-7pkhs,1
40,ym4bx-diu72-g5ltn-n8fcr-a46ws,1
41,i6dat-8l02b-pbjp2-6d53l-cksff,1
42,dw2ko-jriuw-nr4kl-6ys2t-2fu8g,1
43,icaol-tgw9b-dc0em-8kx3n-6r2o4,1
44,lit1t-w34os-jbj02-gxu07-9qx13,1
45,jz382-jrjhz-n7dmp-07tbe-rqcku,1
46,eqxs5-jxr3u-888hu-x52q7-bu9qz,1
47,se6tu-e2f17-ram4j-7ydbu-egkqc,1
48,v1f0z-p68q8-rcnxr-gwjfg-eqxcu,1
49,h0re3-4aikx-3qvhl-v2l0i-ecf0c,1
50,jfuyf-r5t8e-fphwh-2xtm2-bc6en,1
51,owloq-vkkuk-5snck-g4rt5-e77ig,1
52,l9g29-9rdbk-dfqc9-boxhi-72eio,1
53,4batd-1yu0z-ezk3o-q18dl-zzi7t,1
54,gqjfx-qoew1-2r444-cubkr-j8srz,1
55,lhu6b-iue4n-qi6ed-zl3cy-0xbfl,1
56,74cbq-22h9c-b5my0-uaaqh-dzz10,1
57,gns2z-60alo-b28rw-asy02-ij4az,1
58,1tqtf-ts57q-58nt8-v0c9z-2fcu2,1
59,d7p37-ebb5k-9fer9-pu7sk-52ode,1
60,3olun-69uls-qwa11-ohz5w-bhgi6,1
61,1no3g-qeqx3-7zki0-jbtsd-irhyw,1
62,5gnav-c5wo3-8n755-lsx31-qfgcj,1
63,8i60g-tl21b-4e34g-r97h1-h0jek,1
